Item Code,Item Name
SDSDUNR-128G-GN3IN,"SanDisk Ultra SDXC, SDUNR 128GB, C10, UHS-I, 100MB/s R, 3x5, 7Y"
SDSDUNR-256G-GN3IN,"SanDisk Ultra SDXC, SDUNR 256GB, C10, UHS-I, 100MB/s R, 3x5, 7Y"
SDSDXV5-256G-GNCIN,"SanDisk Extreme SDXC, 256GB, U3, C10, UHS-I, 150MB/s R, 70MB/s W"
SDSDXVT-032G-GNCIN,"SanDisk Extreme SDHC, SDXVT 32GB, V30, U3, C10, UHS-I, 100MB/s R, 60MB/s W, 4x6, Lifetime Limited"
SDSDXV2-064G-GNCIN,"SanDisk Extreme SDXC, SDXV2 64GB, V30, U3, C10, UHS-I, 170MB/s R, 80MB/s W, 4x6, Lifetime Limited"
SDSDXVA-128G-GNCIN,"SanDisk Extreme SDXC, SDXVA 128GB, V30, U3, C10, UHS-I, 180MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSDXVV-256G-GNCIN,"SanDisk Extreme SDXC, SDXVV 256GB, V30, U3, C10, UHS-I, 180MB/s R, 130MB/s W, 4x6, Lifetime Limited"
SDSDXXY-512G-GN4IN,"SanDisk Extreme Pro SDXC, 512GB, U3, C10, V30, UHS-I, 170MB/s R, 90MB/s W"
SDSDXXO-032G-GN4IN,"SanDisk Extreme Pro SDHC, SDXXO 32GB, U3, C10, V30, UHS-I, 100MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSDXXU-064G-GN4IN,"SanDisk Extreme Pro SDXC, SDXXU 64GB, V30, U3, C10, UHS-I, 200MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSDXXD-128G-GN4IN,"SanDisk Extreme Pro SDXC, SDXXD 128GB, V30, U3, C10, UHS-I, 200MB/s R, 90MB/s W, 4x6, Lifetime Limited"
SDSDXXD-256G-GN4IN,"SanDisk Extreme Pro SDXC, SDXXD 256GB, V30, U3, C10, UHS-I, 200MB/s R, 140MB/s W, 4x6, Lifetime Limited"
SDSDXXD-512G-GN4IN,"SanDisk Extreme Pro SDXC, SDXXD 512GB, V30, U3, C10, UHS-I, 200MB/s R, 140MB/s W, 4x6, Lifetime Limited"
SDSDXXD-1T00-GN4IN,"SanDisk Extreme Pro SDXC, SDXXD 1TB, V30, U3, C10, UHS-I, 200MB/s R, 140MB/s W, 4x6, Lifetime Limited"
SDSDXDK-032G-GN4IN,"SanDisk Extreme Pro SDHC, SDXDK 32GB, V90, U3, C10, UHS-II, 300MB/s R, 260MB/s W, 4x6, Lifetime Limited"
SDSDXDK-064G-GN4IN,"SanDisk Extreme Pro SDXC, SDXDK 64GB, V90, U3, C10, UHS-II, 300MB/s R, 260MB/s W, 4x6, Lifetime Limited"
SDSDXDK-128G-GN4IN,"SanDisk Extreme Pro SDXC, SDXDK 128GB, V90, U3, C10, UHS-II, 300MB/s R, 260MB/s W, 4x6, Lifetime Limited"
SDSDXDK-256G-GN4IN,"SanDisk Extreme Pro SDXC, SDXDK 256GB, V90, U3, C10, UHS-II, 300MB/s R, 260MB/s W, 4x6, Lifetime Limited"
SDSDXDK-512G-GN4IN,"SanDisk Extreme Pro SDXC, SDXDK 512GB, V90, U3, C10, UHS-II, 300MB/s R, 260MB/s W, 4x6, Lifetime Limited"
SDCFXPS-032G-X46,"SanDisk Extreme Pro CF, CFXPS 32GB, VPG65, UDMA 7, 160MB/s R, 150MB/s W, 4x6, Lifetime Limited"
SDCFXPS-064G-X46,"SanDisk Extreme Pro CF, CFXPS 64GB, VPG65, UDMA 7, 160MB/s R, 150MB/s W, 4x6, Lifetime Limited"
SDCFXPS-128G-X46,"SanDisk Extreme Pro CF, CFXPS 128GB, VPG65, UDMA 7, 160MB/s R, 150MB/s W, 4x6, Lifetime Limited"
SDCFXPS-256G-X46,"SanDisk Extreme Pro CF, CFXPS 256GB, VPG65, UDMA 7, 160MB/s R, 140MB/s W, 4x6, Lifetime Limited"
SDCFXSB-032G-G46,"SanDisk Extreme CF, CFXSB 32GB, VPG20, UDMA 7, 120MB/s R, 85MB/s W, 4x6, Lifetime Limited"
SDCFXSB-064G-G46,"SanDisk Extreme CF, CFXSB 64GB, VPG20, UDMA 7, 120MB/s R, 85MB/s W, 4x6, Lifetime Limited"
SDCFXSB-128G-G46,"SanDisk Extreme CF, CFXSB 128GB, VPG20, UDMA 7, 120MB/s R, 85MB/s W, 4x6, Lifetime Limited"
SDCFE-064G-GN4NN,"SanDisk Extreme PRO® CFexpress™ Card Type B, SDCFE 64GB, 1500MB/s R, 800MB/s W, 4x6, Limited Lifetime"
SDCFE-128G-GN4NN,"SanDisk Extreme PRO® CFexpress™ Card Type B, SDCFE 128GB, 1700MB/s R, 1200MB/s W, 4x6, Limited Lifetime"
SDCFE-256G-GN4NN,"SanDisk Extreme PRO® CFexpress™ Card Type B, SDCFE 256GB, 1700MB/s R, 1200MB/s W, 4x6, Limited Lifetime"
SDCFE-512G-GN4NN,"SanDisk Extreme PRO® CFexpress™ Card Type B, SDCFE 512GB, 1700MB/s R, 1400MB/s W, 4x6, Limited Lifetime"
SDCZ50-008G-B35,"SanDisk Cruzer Blade USB Flash Drive, CZ50 8GB, USB2.0, Black with red accent, compact design, 5Y"
SDCZ50-016G-B35,"SanDisk Cruzer Blade USB Flash Drive, CZ50 16GB, USB2.0, Black with red accent, compact design, 5Y"
SDCZ50-032G-B35,"SanDisk Cruzer Blade USB Flash Drive, CZ50 32GB, USB2.0, Black with red accent, compact design, 5Y"
SDCZ50-064G-B35,"SanDisk Cruzer Blade USB Flash Drive, CZ50 64GB, USB2.0, Black with red accent, compact design, 5Y"
SDCZ50-128G-B35,"SanDisk Cruzer Blade USB Flash Drive, CZ50 128GB, USB2.0, Black with red accent, compact design, 5Y"
SDCZ50C-016G-B35BE,"SanDisk Cruzer Blade USB Flash Drive, CZ50 16GB, USB2.0, Electric Blue, compact design, 5Y"
SDCZ50C-016G-B35GE,"SanDisk Cruzer Blade USB Flash Drive, CZ50 16GB, USB2.0, Electric Green, compact design, 5Y"
SDCZ50C-016G-B35PE,"SanDisk Cruzer Blade USB Flash Drive, CZ50 16GB, USB2.0, Electric Pink, compact design, 5Y"
SDCZ50C-016G-B35W,"SanDisk Cruzer Blade USB Flash Drive, CZ50 16GB, USB2.0, White, compact design, 5Y"
SDCZ60-032G-B35,"SanDisk Cruzer Glide USB Flash Drive, CZ60 32GB, USB2.0, Black, retractable design, 5Y"
SDCZ60-064G-B35,"SanDisk Cruzer Glide USB Flash Drive, CZ60 64GB, USB2.0, Black, retractable design, 5Y"
SDCZ60-128G-B35,"SanDisk Cruzer Glide USB Flash Drive, CZ60 128GB, USB2.0, Black, retractable design, 5Y"
SDCZ600-016G-G35,"SanDisk Cruzer Glide 3.0 USB Flash Drive, CZ600 16GB, USB3.0, Black with red slider, retractable design, 5Y"
SDCZ600-032G-G35,"SanDisk Cruzer Glide 3.0 USB Flash Drive, CZ600 32GB, USB3.0, Black with red slider, retractable design, 5Y"
SDCZ600-064G-G35,"SanDisk Cruzer Glide 3.0 USB Flash Drive, CZ600 64GB, USB3.0, Black with red slider, retractable design, 5Y"
SDCZ600-128G-G35,"SanDisk Cruzer Glide 3.0 USB Flash Drive, CZ600 128GB, USB3.0, Black with red slider, retractable design, 5Y"
SDCZ600-256G-G35,"SanDisk Cruzer Glide 3.0 USB Flash Drive, CZ600 256GB, USB3.0, Black with red slider, retractable design, 5Y"
SDCZ430-016G-G46,"SanDisk Ultra Fit USB Flash Drive, CZ430 16GB, USB3.2 Gen 1, Black, Plug & Stay, 5Y"
SDCZ430-032G-G46,"SanDisk Ultra Fit USB Flash Drive, CZ430 32GB, USB3.2 Gen 1, Black, Plug & Stay, 5Y"
SDCZ430-064G-G46,"SanDisk Ultra Fit USB Flash Drive, CZ430 64GB, USB3.2 Gen 1, Black, Plug & Stay, 5Y"
SDCZ430-128G-G46,"SanDisk Ultra Fit USB Flash Drive, CZ430 128GB, USB3.2 Gen 1, Black, Plug & Stay, 5Y"
SDCZ430-256G-G46,"SanDisk Ultra Fit USB Flash Drive, CZ430 256GB, USB3.2 Gen 1, Black, Plug & Stay, 5Y"
SDCZ430-512G-G46,"SanDisk Ultra Fit USB Flash Drive, CZ430 512GB, USB3.2 Gen 1, Black, Plug & Stay, 5Y"
SDCZ48-016G-U46,"SanDisk Ultra USB 3.0 Flash Drive, CZ48 16GB, USB3.0, Black, stylish sleek design, 5Y"
SDCZ48-032G-U46,"SanDisk Ultra USB 3.0 Flash Drive, CZ48 32GB, USB3.0, Black, stylish sleek design, 5Y"
SDCZ48-064G-U46,"SanDisk Ultra USB 3.0 Flash Drive, CZ48 64GB, USB3.0, Black, stylish sleek design, 5Y"
SDCZ48-128G-U46,"SanDisk Ultra USB 3.0 Flash Drive, CZ48 128GB, USB3.0, Black, stylish sleek design, 5Y"
SDCZ48-256G-U46,"SanDisk Ultra USB 3.0 Flash Drive, CZ48 256GB, USB3.0, Black, stylish sleek design, 5Y"
SDCZ48-512G-G46,"SanDisk Ultra USB 3.0 Flash Drive, CZ48 512GB, USB3.0, Black, stylish sleek design, 5Y"
SDCZ73-016G-G46,"SanDisk Ultra Flair USB 3.0 Flash Drive, CZ73 16GB, USB3.0, Fashionable Metal Casing, 5Y"
SDCZ73-032G-G46,"SanDisk Ultra Flair USB 3.0 Flash Drive, CZ73 32GB, USB3.0, Fashionable Metal Casing, 5Y"
SDCZ73-064G-G46,"SanDisk Ultra Flair USB 3.0 Flash Drive, CZ73 64GB, USB3.0, Fashionable Metal Casing, 5Y"
SDCZ73-128G-G46,"SanDisk Ultra Flair USB 3.0 Flash Drive, CZ73 128GB, USB3.0, Fashionable Metal Casing, 5Y"
SDCZ73-256G-G46,"SanDisk Ultra Flair USB 3.0 Flash Drive, CZ73 256GB, USB3.0, Fashionable Metal Casing, 5Y"
SDCZ73-512G-G46,"SanDisk Ultra Flair USB 3.0 Flash Drive, CZ73 512GB, USB3.0, Fashionable Metal Casing, 5Y"
