Item Code,Item Group,Default Unit of Measure,Item Name,Maintain Stock,Brand,Standard Selling Rate,Allow Purchase,Allow Sales,Company (Item Defaults),Default Warehouse (Item Defaults)
Boat-flRTL-RED,Smart Watch,Nos,boAt Flash RTL - Non - Calling Red,1,boAt,65,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-MSD-16GB,Memory Cards,Nos,HP 16GB Micro SD Class 10 100Mbps ,1,HP,5.7,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-USB20-16GB,USB/Thumb Drive,Nos,HP 16GB V206W USB2.0,1,HP,5.7,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-MSD-32GB,Memory Cards,Nos,HP 32GB Micro Sd Class10 100MB/s,1,HP,6.1,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-USB20-32GB,USB/Thumb Drive,Nos,HP 32GB V206W USB2.0,1,HP,6.1,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-MSDA1-64GB,Memory Cards,Nos,HP 64GB Micro SD A1 U3 V30 Mx330 ,1,HP,12,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-MSD-64GB,Memory Cards,Nos,HP 64GB Micro Sd Class10 100MB/s ,1,HP,9.5,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
HP-USB20-64GB,USB/Thumb Drive,Nos,HP 64GB V206W USB2.0,1,HP,9.5,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-ltg600,PD Cables,Nos,Boat LTG600 Type C to Lightning Cable,1,boAt,25,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-pa208-BLK,PartyBox,Nos,Boat Partypal 208 - 70W Black,1,boAt,169,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-pa23-BLK,PartyBox,Nos,Boat Partypal 23 - 15W Black,1,boAt,75,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-pa50-BLK,PartyBox,Nos,boAt Partypal 50 - 20W Black,1,boAt,90,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
Boat-st170-BLK,Bluetooth Speaker,Nos,boAt Stone 170 - 5W Black,1,boAt,35,1,1,ZEROMAX IMPEX PTE LTD,Stores - ZIPL
