"Item Code","ID (Taxes)","Tax Category (Taxes)"
"JBL-PBOX100-BLK","724426e4f9",""
"JBL-HZN2-GRY","41ac7beff7",""
"JBL-HZN2-BLK","803eb79ff6",""
"JBL-GO3-YEL","74e6e4b331",""
"JBL-GO3-WHI","baeb27f15a",""
"JBL-GO3-TEL","5fc26bdb3d",""
"JBL-GO3-RED","02c18f93e6",""
"JBL-GO3-PIK","1518df0d48",""
"JBL-GO3-GRY","61e8989235",""
"JBL-GO3-GRN","342a3dc4b3",""
"JBL-GO3-BLU","83b50a1150",""
"JBL-GO3-BLK","994010866e",""
"JBL-GO2-RED","6cfa704486",""
"JBL-GO2-ORA","0ab5149006",""
"JBL-GO2-NAV","614b981adb",""
"JBL-GO2-MIN","547f286664",""
"JBL-GO2-GRY","8b47f72b1b",""
"JBL-GO2-GRN","1971f66dcf",""
"JBL-GO2-CYN","f9259eda1d",""
"JBL-GO2-CIN","9d4a0b89d7",""
"JBL-GO2-CPG","991f1e52f1",""
"JBL-GO2-BLU","752e5a1665",""
"JBL-GO2-BLK","dd650dbf9e",""
"JBL-FLIP5-EGRN","dee5adf819",""
"JBL-FLIP5-EBLU","9b8e0f9acd",""
"JBL-FLIP5-YEL","c1ce297577",""
"JBL-FLIP5-WHI","a83e3aa596",""
"JBL-FLIP5-TEL","34f0c5634b",""
"JBL-FLIP5-SQD","75e3383e05",""
"JBL-FLIP5-SAN","67090a67e0",""
"JBL-FLIP5-RED","df249c41e5",""
"JBL-FLIP5-PIK","e30141509b",""
"JBL-FLIP5-GRY","6d500ce4f5",""
"JBL-FLIP5-GRN","85642a54a5",""
"JBL-FLIP5-BLU","868d667f1e",""
"JBL-FLIP5-BLK","f34a03ad3b",""
"JBL-CLIP4-YEL","ad5d5da41f",""
"JBL-CLIP4-WHI","c0658fc268",""
"JBL-CLIP4-TEL","d6c50948a1",""
"JBL-CLIP4-RED","8a9ff99a46",""
"JBL-CLIP4-PIK","1d307ee299",""
"JBL-CLIP4-ORA","65ea18d75f",""
"JBL-CLIP4-GRY","e3c8cdff9c",""
"JBL-CLIP4-GRN","471a275a82",""
"JBL-CLIP4-B&P","16d4ed9743",""
"JBL-CLIP4-BLU","8ece1b8710",""
"JBL-CLIP4-B&O","33ba618d97",""
"JBL-CLIP4-BLK","fa787e9b23",""
"JBL-CHARGE4-TEL","91078e9fec",""
"JBL-CHARGE4-RED","2b3986a6c5",""
"JBL-CHARGE4-PIK","2eb33b6c7a",""
"JBL-CHARGE4-GRY","450e68bd5d",""
"JBL-CHARGE4-GRN","583b707cdb",""
"JBL-CHARGE4-BLU","be3c6f07d7",""
"JBL-CHARGE4-BLK","5d786bead3",""
"JBL-BBOX2-SQD","266f06a1bc",""
"JBL-BBOX2-BLK","63f6a8a70d",""
"JBL-UA-STRK-WHI","6e9bb51944",""
"JBL-UA-STRK-TEL","90648fc391",""
"JBL-UA-STRK-RED","be4c44a349",""
"JBL-UA-STRK-BLK","7b184f3c1f",""
"JBL-UA-REACT","4fbce1463f",""
"JBL-UA-PIVOT","27649af26e",""
"JBL-UA-FLEX","6a1a903665",""
"JBL-UA-FLASHX","dd61a30738",""
"JBL-UA-FLASH","f9ae031e64",""
"JBL-T750BTNC-WHI","43a8f40fac",""
"JBL-T750BTNC-CRL","79b822a4fa",""
"JBL-T750BTNC-BLU","cb3228e003",""
"JBL-T750BTNC-BLK","555a37f17a",""
"JBL-T700BT-WHI","d7681a1078",""
"JBL-T700BT-CRL","64161fcf1b",""
"JBL-T700BT-BLU","3933fa9e2d",""
"JBL-T700BT-BLK","b0c5400719",""
"JBL-T600BTNC-WHI","2aeea3e267",""
"JBL-T600BTNC-PIK","54cf87e6b7",""
"JBL-T600BTNC-BLU","3496c57383",""
"JBL-T600BTNC-BLK","a92dbd65d5",""
"JBL-T500BT-WHI","3adca85a8a",""
"JBL-T500BT-PIK","dbb2eb2166",""
"JBL-T500BT-BLU","261aefd7d0",""
"JBL-T500BT-BLK","c2073f70da",""
"JBL-T500-WHI","b4c979011b",""
"JBL-T500-PIK","78d9515357",""
"JBL-T500-BLU","04e618388c",""
"JBL-T500-BLK","4516224956",""
"JBL-T225TWS-GORA","8701011c0b",""
"JBL-T225TWS-GBLK","d1ddb24d8d",""
"JBL-T225TWS-WHI","6e54f82de6",""
"JBL-T225TWS-PIK","b1b33be25f",""
"JBL-T225TWS-GLD","33f966bd4a",""
"JBL-T225TWS-GRY","d5f68bad4f",""
"JBL-T225TWS-BLU","a949771fb3",""
"JBL-T225TWS-BLK","cfe0162651",""
"JBL-T220TWS-WHI","feaa66e4b5",""
"JBL-T220TWS-PIK","909c87b361",""
"JBL-T220TWS-GRY","17ee50c146",""
"JBL-T220TWS-GRN","ace1929390",""
"JBL-T220TWS-BLU","ade969478f",""
"JBL-T220TWS-BLK","f85622efbe",""
"JBL-T215BT-WHI","6c9f4be446",""
"JBL-T215BT-PUR","865d1f189f",""
"JBL-T215BT-GRN","855abeb2f1",""
"JBL-T215BT-CGD","5e4ad3751d",""
"JBL-T215BT-BLU","51dc1a44e7",""
"JBL-T215BT-BLK","a87e1a2a92",""
"JBL-T205BT-SIL","833a67ea5e",""
"JBL-T205BT-RGD","b77b511de1",""
"JBL-T205BT-GRN","1704bae2f4",""
"JBL-T205BT-CGD","dda113ca0c",""
"JBL-T205BT-BLU","71769aa328",""
"JBL-T205BT-BLK","1fcb14f77a",""
"JBL-T125TWS-WHI","7355f18a58",""
"JBL-T125TWS-PIK","910aef1acf",""
"JBL-T125TWS-GRN","914a88118f",""
"JBL-T125TWS-GLD","14153b26ba",""
"JBL-T125TWS-BLU","b16c2bfcb1",""
"JBL-T125TWS-BLK","586aed6ee2",""
"JBL-T115TWS-WHI","4e8078f031",""
"JBL-T115TWS-RED","5046230225",""
"JBL-T115TWS-MNT","7e15f2cf87",""
"JBL-T115TWS-BLK","7c96236e17",""
"JBL-RFMNC-TWS-WHI","58eee8d1ec",""
"JBL-RFMNC-TWS-GRN","11f72d53f6",""
"JBL-RFMNC-TWS-BLU","d9fbbe46ba",""
"JBL-RFMNC-TWS-BLK","2ceca75600",""
"JBL-RFW-TWS-TEL","63234b32ab",""
"JBL-RFW-TWS-GRN","0e4da364d9",""
"JBL-RFW-TWS-BLU","3763461376",""
"JBL-RFW-TWS-BLK","00a1ded035",""
"JBL-QTMONE-BLK","dcfd372983",""
"JBL-QTM800-BLK","113327121c",""
"JBL-QTM600-BLK","bd86f121a2",""
"JBL-QTM400-BLK","6e729bdb58",""
"JBL-QTM300-BLK","d6201c388b",""
"JBL-QTM200-BLK","1186651836",""
"JBL-QTM100-WHI","66457ff696",""
"JBL-QTM100-BLU","870cba6f4e",""
"JBL-QTM100-BLK","5623794458",""
"JBL-QTM50-BLK","606e0f571e",""
"JBL-LIVEPRO-TWS-WHI","634acceaa6",""
"JBL-LIVEPRO-TWS-PIK","da488041d8",""
"JBL-LIVEPRO-TWS-BEI","df7532695b",""
"JBL-LIVEPRO-TWS-BLK","1352650a8b",""
"JBL-LIVE-FREENC+TWS-WHI","43ff2d89f0",""
"JBL-LIVE-FREENC+TWS-ROS","5cb2d93f67",""
"JBL-LIVE-FREENC+TWS-BLU","ff3fdc7c23",""
"JBL-LIVE-FREENC+TWS-BLK","ff5a4faa19",""
"JBL-LIVE-650BTNC-WHI","d3023b58c2",""
"JBL-LIVE-650BTNC-BLU","cae41b2724",""
"JBL-LIVE-650BTNC-BLK","3605975f40",""
"JBL-LIVE-500BT-WHI","5b24e294e7",""
"JBL-LIVE-500BT-RED","5a55bcd817",""
"JBL-LIVE-500BT-GRN","01459c9a98",""
"JBL-LIVE-500BT-BLU","b3d786a01d",""
"JBL-LIVE-500BT-BLK","1e2efb905f",""
"JBL-LIVE-400BT-WHI","e206f3ccc0",""
"JBL-LIVE-400BT-RED","38e235b48d",""
"JBL-LIVE-400BT-GRN","41ed86f600",""
"JBL-LIVE-400BT-BLU","75002a3a07",""
"JBL-LIVE-400BT-BLK","455d2b4135",""
"JBL-LIVE-300TWS-WHI","531467855d",""
"JBL-LIVE-300TWS-BLK","4eeb4fbcd9",""
"JBL-LIVE-300TWS-BLU","bbe9ebccdb",""
"JBL-LIVE-300TWS-PRL","32c445ed8d",""
"JBL-LIVE-25BT-WHI","29ae6fc37c",""
"JBL-LIVE-25BT-RED","c31dcf3331",""
"JBL-LIVE-25BT-BLU","ca57bed3ec",""
"JBL-LIVE-25BT-BLK","d2c2451457",""
"JBL-JR310BT-RED","5a959397e5",""
"JBL-JR310BT-GRN","3b74e97a23",""
"JBL-JR310BT-BLU","28d693c815",""
"JBL-JR310-RED","93eeaae35e",""
"JBL-JR310-BLU","6b5094552c",""
"JBL-JR300BT-TEL","32f2fc08df",""
"JBL-JR300BT-UNO","117164ed52",""
"JBL-JR300BT-PIK","3ac42a653d",""
"JBL-JR300-RED","28f361014e",""
"JBL-JR300-BLU","75b172cdd4",""
"JBL-FREEX-WHI","77434a164b",""
"JBL-FREEX-BLU","9457e50861",""
"JBL-FREEX-BLK","a043617c2a",""
"JBL-EN-SPR-RED","ade22bab52",""
"JBL-EN-SPR-BLU","8364c56f44",""
"JBL-EN-SPR-B&L","3a0b9c8bf8",""
"JBL-EN-SPR-BLK","6ad3117efa",""
"JBL-EN-RUNBT-RED","d98b3faf52",""
"JBL-EN-RUNBT-B&L","2d2ddd0cf8",""
"JBL-EN-RUNBT-BLK","2525394359",""
"JBL-EN-RUN-RED","e867dbb005",""
"JBL-EN-RUN-BLU","6ab514465e",""
"JBL-EN-RUN-B&L","2cdab365dc",""
"JBL-EN-RUN-BLK","4735dbb671",""
"JBL-EN-PEAK-RED","5040b9ec36",""
"JBL-EN-PEAK-BLU","fd8909256d",""
"JBL-EN-PEAK-BLK","d2f5d5a277",""
"JBL-EN-JUMP-RED","df987cb58d",""
"JBL-EN-JUMP-BLU","73d98e4dd0",""
"JBL-EN-JUMP-B&L","62017c39e6",""
"JBL-EN-JUMP-BLK","451dc4ad3c",""
"JBL-EN-DIVE-RED","bb862ae63c",""
"JBL-EN-DIVE-BLU","a74123f195",""
"JBL-EN-DIVE-B&L","a7910ab818",""
"JBL-EN-DIVE-BLK","074610e218",""
"JBL-CLPRO-TWS-BLK","7cf0b2de9f",""
"JBL-CLONE-BLK","5657b171da",""
"JBL-CL950NC-BLK","11000ea099",""
"JBL-CL700BT-BLK","a18cd0dfdf",""
"JBL-C50HI-BLK","0eb7f2eaa9",""
"EB-U1200CSEGWW","408d68cff2",""
"JBL-FLIP4-BLK","032a23257e",""
"SAM-LWY-R170","95fd881b2b",""
"JBL-EJMP-BLK","acf5cfb69d",""
"JB-T45-BLK","82f5de8a51",""
"JB-T35-BLK","57382a3c6c",""
"JB-T15-BLK","cba607fe2e",""
"JBL-T120TWS-GRN","d98971616a",""
"JBL-T115BT-WHI","76ece5c3f8",""
"JBL-T115BT-RED","d06e2d51db",""
"JBL-T115BT-GRY","3ca4adb03c",""
"JBL-T115BT-GRN","8f808c4c84",""
"JBL-T115BT-BLU","59171e3a3b",""
"JBL-T115BT-BLK","bf20b1b95c",""
