Item Code,Price List,Rate,Selling,Buying
SDCZ880-256G-G46,Sandisk Jan2024 Selling Price,$84.90,1,0
SDCZ880-512G-G46,Sandisk Jan2024 Selling Price,$152.70,1,0
SDCZ880-1T00-G46,Sandisk Jan2024 Selling Price,$289.90,1,0
SDDDC2-032G-G46,Sandisk Jan2024 Selling Price,$9.90,1,0
SDDDC2-064G-G46,Sandisk Jan2024 Selling Price,$11.40,1,0
SDDDC2-128G-G46,Sandisk Jan2024 Selling Price,$17.20,1,0
SDDDC2-256G-G46,Sandisk Jan2024 Selling Price,$30.40,1,0
SDDDC3-032G-G46,Sandisk Jan2024 Selling Price,$9.10,1,0
SDDDC3-064G-G46,Sandisk Jan2024 Selling Price,$10.70,1,0
SDDDC3-064G-G46G,Sandisk Jan2024 Selling Price,$10.70,1,0
SDDDC3-064G-G46NB,Sandisk Jan2024 Selling Price,$10.70,1,0
SDDDC3-064G-G46PC,Sandisk Jan2024 Selling Price,$10.70,1,0
SDDDC3-128G-G46,Sandisk Jan2024 Selling Price,$16.40,1,0
SDDDC3-128G-G46G,Sandisk Jan2024 Selling Price,$16.40,1,0
SDDDC3-128G-G46NB,Sandisk Jan2024 Selling Price,$16.40,1,0
SDDDC3-128G-G46PC,Sandisk Jan2024 Selling Price,$16.40,1,0
SDDDC3-256G-G46,Sandisk Jan2024 Selling Price,$29.60,1,0
SDDDC3-256G-G46G,Sandisk Jan2024 Selling Price,$29.60,1,0
SDDDC3-256G-G46NB,Sandisk Jan2024 Selling Price,$29.60,1,0
SDDDC3-256G-G46PC,Sandisk Jan2024 Selling Price,$29.60,1,0
SDDDC3-512G-G46,Sandisk Jan2024 Selling Price,$55.80,1,0
SDDDC4-032G-G46,Sandisk Jan2024 Selling Price,$11.60,1,0
SDDDC4-064G-G46,Sandisk Jan2024 Selling Price,$13.00,1,0
SDDDC4-128G-G46,Sandisk Jan2024 Selling Price,$18.70,1,0
SDDDC4-256G-G46,Sandisk Jan2024 Selling Price,$31.90,1,0
SDDDC4-512G-G46,Sandisk Jan2024 Selling Price,$63.50,1,0
SDDDC4-1T00-G46,Sandisk Jan2024 Selling Price,$126.60,1,0
SDSSDA-240G-G26,Sandisk Jan2024 Selling Price,$40.60,1,0
SDSSDA-480G-G26,Sandisk Jan2024 Selling Price,$51.00,1,0
SDSSDA-1T00-G27,Sandisk Jan2024 Selling Price,$101.50,1,0
SDSSDA-2T00-G26,Sandisk Jan2024 Selling Price,$227.20,1,0
SDSSDH3-500G-G26,Sandisk Jan2024 Selling Price,$70.10,1,0
SDSSDH3-1T00-G25,Sandisk Jan2024 Selling Price,$118.80,1,0
SDSSDH3-2T00-G25,Sandisk Jan2024 Selling Price,$245.70,1,0
SDSSDH3-4T00-G25,Sandisk Jan2024 Selling Price,$542.10,1,0
SDSSDE30-480G-G25,Sandisk Jan2024 Selling Price,$85.80,1,0
SDSSDE30-1T00-G26,Sandisk Jan2024 Selling Price,$96.80,1,0
SDSSDE30-2T00-G26,Sandisk Jan2024 Selling Price,$168.30,1,0
SDSSDE61-500G-G25,Sandisk Jan2024 Selling Price,$110.00,1,0
SDSSDE61-1T00-G25,Sandisk Jan2024 Selling Price,$130.90,1,0
SDSSDE61-2T00-G25,Sandisk Jan2024 Selling Price,$210.10,1,0
SDSSDE61-4T00-G25,Sandisk Jan2024 Selling Price,$436.70,1,0
SDSSDE61-1T00-G25B,Sandisk Jan2024 Selling Price,$130.90,1,0
