Item Code,Price List,Rate,Selling,Buying
SDSSDE61-2T00-G25,Standard Selling,$210.10,1,0
SDSSDE61-4T00-G25,Standard Selling,$436.70,1,0
SDSSDE61-1T00-G25B,Standard Selling,$130.90,1,0
SDSSDE61-2T00-G25B,Standard Selling,$210.10,1,0
SDSSDE61-4T00-G25B,Standard Selling,$436.70,1,0
SDSSDE61-1T00-G25M,Standard Selling,$130.90,1,0
SDSSDE61-2T00-G25M,Standard Selling,$210.10,1,0
SDSSDE61-4T00-G25M,Standard Selling,$436.70,1,0
SDSSDE81-1T00-G25,Standard Selling,$174.90,1,0
SDSSDE81-2T00-G25,Standard Selling,$270.60,1,0
SDSSDE81-4T00-G25,Standard Selling,$541.20,1,0
SDIX60N-064G-GN6NN,Standard Selling,$39.80,1,0
SDIX60N-128G-GN6NE,Standard Selling,$53.70,1,0
SDIX60N-256G-GN6NE,Standard Selling,$81.70,1,0
SDIX70N-064G-GN6NN,Standard Selling,$46.30,1,0
SDIX70N-128G-GN6NE,Standard Selling,$61.20,1,0
SDIX70N-256G-GN6NE,Standard Selling,$88.70,1,0
SDIX90N-032G-GN6NN,Standard Selling,$27.80,1,0
SDIX90N-064G-GN6NN,Standard Selling,$29.60,1,0
SDIX90N-064G-GN6NK,Standard Selling,$29.60,1,0
SDIX90N-128G-GN6NE,Standard Selling,$41.70,1,0
SDIX90N-128G-GN6NJ,Standard Selling,$41.70,1,0
SDIX90N-256G-GN6NE,Standard Selling,$68.30,1,0
SDDR-409-G46,Standard Selling,$27.50,1,0
SDDR-A631-GNGNN,Standard Selling,$36.50,1,0
SDDR-B531-GN6NN,Standard Selling,$10.30,1,0
